Rank,Country,ISO3,Region,Total Population,Total Military Personnel,Active Personnel,Reserve Personnel,Total Aircraft Strength,Total Helicopter Strength,Combat Tanks,Armored Fighting Vehicles,Total Naval Assets,Labor Force,Merchant Marine Strength,Major Ports / Terminals,Roadway Coverage (km),Railway Coverage (km),Defense Budget,External Debt,Foreign Exchange / Gold,Purchasing Power Parity,Square Land Area (km),Coastline (km),Shared Borders (km),Waterways (km)
106,Honduras,HON,Central America,8893259,76000,12000,64000,35,9,19,122,59,3625000,88,4,14742,44,205,8042,3846,43190,112090,832,1575,465
107,Botswana,BOT,Southern Africa,2209208,9000,9000,0,43,16,0,30,0,1177000,0,0,17916,0,470,2386,7682,35900,581730,0,4347,0
108,Kyrgyzstan,KYR,Central Asia,5727553,23700,13700,10000,6,6,150,438,0,2778000,0,1,34000,470,240,7728,1838,21010,199951,0,4573,600
109,Mozambique,MOZ,Eastern Africa,25930150,11200,11200,0,15,5,96,335,8,13310000,2,3,30331,4787,86,9554,1541,35310,799380,2470,4783,460
110,Estonia,EST,Northern Europe,1258545,35000,5000,30000,6,4,0,318,6,651200,25,6,58412,1196,335,19050,475,38700,45228,3794,657,335
111,Cameroon,CAM,Middle Africa,24360803,25000,15000,10000,34,16,0,100,64,9612000,0,3,51350,1245,370,7375,2416,77240,475440,400,5018,0
112,Tajikistan,TAJ,Central Asia,8330946,14900,7400,7500,25,20,37,46,0,2209000,0,0,27767,680,75,3976,416,25810,143100,0,4130,200
113,Slovenia,SLV,Southern Europe,1978029,15500,7500,8000,28,16,84,247,2,918700,24,1,38985,1228,790,51650,851,66130,20273,47,1211,0
114,Niger,NGR,Western Africa,18638600,11000,5500,5500,17,7,0,157,0,6500000,0,0,18949,0,85,2729,903,20270,1267000,0,5834,300
115,Nicaragua,NIC,Central America,5966798,13000,13000,0,19,16,84,253,30,3013000,0,2,22111,0,44,11100,2442,33490,130370,910,1253,2220
